Month-End,WDR_PUB,WDR_PVT,WLR _PUB,WLR_PVT,WDR_PUB_Q,WDR_PVT_Q,WLR_PUB_Q,WDR_PVT_Q
Oct-23,6.8,6.73,9.25,10.73,#DIV/0!,,,
Nov-23,6.85,6.75,9.25,10.72,#DIV/0!,,,
Dec-23,6.88,6.82,9.25,10.72,#DIV/0!,,,
Jan-24,6.91,6.81,9.25,10.75,#DIV/0!,,,
Feb-24,6.94,6.81,9.25,10.73,#DIV/0!,,,
Mar-24,6.96,6.83,9.24,10.76,#DIV/0!,,,
Apr-24,6.97,6.89,9.22,10.75,#DIV/0!,,,
May-24,6.99,6.9,9.21,10.75,#DIV/0!,,,
Jun-24,7,6.83,9.21,10.95,#DIV/0!,,,
Jul-24,7.03,6.84,9.2,10.97,#DIV/0!,,,
Aug-24,7.05,6.85,9.2,10.97,#DIV/0!,,,
Sep-24,7.07,6.87,9.21,10.95,#DIV/0!,,,
Oct-24,7.08,6.89,9.19,10.95,#DIV/0!,,,
